NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
ndata = 259608
-2 1
-1 0.252313
0 259608 0.252313
0.1 259384 0.249888
0.2 259384 0.249888
0.3 259169 0.245789
0.4 259169 0.245789
0.5 258963 0.240284
0.6 258963 0.240284
0.7 258769 0.233764
0.8 258593 0.22664
0.9 258593 0.22664
1 258431 0.219248
1.1 258431 0.219248
1.2 258287 0.211909
1.3 258287 0.211909
1.4 258151 0.204961
1.5 258018 0.198411
1.6 258018 0.198411
1.7 257885 0.192251
1.8 257885 0.192251
1.9 257752 0.186462
2 257752 0.186462
2.1 257622 0.181016
2.2 257496 0.175892
2.3 257496 0.175892
2.4 257371 0.171089
2.5 257371 0.171089
2.6 257246 0.166616
2.7 257246 0.166616
2.8 257121 0.162489
2.9 257121 0.162489
3 256995 0.158715
3.1 256869 0.155294
3.2 256869 0.155294
3.3 256744 0.152214
3.4 256744 0.152214
3.5 256620 0.149463
3.6 256620 0.149463
3.7 256495 0.147027
3.8 256370 0.144883
3.9 256370 0.144883
4 256245 0.143008
4.1 256245 0.143008
4.2 256115 0.141373
4.3 256115 0.141373
4.4 255982 0.139946
4.5 255849 0.138691
4.6 255849 0.138691
4.7 255716 0.137589
4.8 255716 0.137589
4.9 255583 0.136633
5 255583 0.136633
5.1 255450 0.135842
5.2 255317 0.135258
5.3 255317 0.135258
5.4 255184 0.13494
5.5 255184 0.13494
5.6 255051 0.134949
5.7 255051 0.134949
5.8 254918 0.135335
5.9 254785 0.136113
6 254785 0.136113
6.1 254652 0.137251
6.2 254652 0.137251
6.3 254519 0.13866
6.4 254519 0.13866
6.5 254386 0.140195
6.6 254253 0.141672
6.7 254253 0.141672
6.8 254120 0.142884
6.9 254120 0.142884
7 253987 0.143634
7.1 253987 0.143634
7.2 253854 0.143762
7.3 253721 0.143171
7.4 253721 0.143171
7.5 253588 0.141846
7.6 253588 0.141846
7.7 253455 0.13986
7.8 253455 0.13986
7.9 253322 0.137366
8 253189 0.134581
8.1 253189 0.134581
8.2 253056 0.131754
8.3 253056 0.131754
8.4 252923 0.12913
8.5 252923 0.12913
8.6 252790 0.126914
8.7 252790 0.126914
8.8 252657 0.125241
8.9 252524 0.124153
9 252524 0.124153
9.1 252391 0.123601
9.2 252391 0.123601
9.3 252258 0.123447
9.4 252258 0.123447
9.5 252131 0.123562
9.6 252010 0.123717
9.7 252010 0.123717
9.8 251892 0.123677
9.9 251892 0.123677
10 251776 0.123261
10.1 251776 0.123261
10.2 251659 0.122341
10.3 251543 0.120906
10.4 251543 0.120906
10.5 251423 0.118956
10.6 251423 0.118956
10.7 251292 0.116508
10.8 251292 0.116508
10.9 251159 0.113732
11 251026 0.110744
11.1 251026 0.110744
11.2 250893 0.107626
11.3 250893 0.107626
11.4 250760 0.104439
11.5 250760 0.104439
11.6 250627 0.101233
11.7 250494 0.0980428
11.8 250494 0.0980428
11.9 250361 0.0948978
12 250361 0.0948978
12.1 250228 0.0918142
12.2 250228 0.0918142
12.3 250095 0.0887933
12.4 249962 0.0858171
12.5 249962 0.0858171
12.6 249829 0.0828466
12.7 249829 0.0828466
12.8 249696 0.0798274
12.9 249696 0.0798274
13 249563 0.0767047
13.1 249430 0.0734457
13.2 249430 0.0734457
13.3 249297 0.070062
13.4 249297 0.070062
13.5 249164 0.0666254
13.6 249164 0.0666254
13.7 249031 0.0632721
13.8 248898 0.0601907
13.9 248898 0.0601907
14 248765 0.0575964
14.1 248765 0.0575964
14.2 248632 0.0556958
14.3 248632 0.0556958
14.4 248499 0.0546524
14.5 248499 0.0546524
14.6 248366 0.0545604
14.7 248235 0.0554663
14.8 248235 0.0554663
14.9 248105 0.0572862
15 248105 0.0572862
15.1 247984 0.0600024
15.2 247984 0.0600024
15.3 247878 0.0633759
15.4 247778 0.0670959
15.5 247778 0.0670959
15.6 247687 0.0709524
15.7 247687 0.0709524
15.8 247599 0.0746734
15.9 247599 0.0746734
16 247519 0.0780252
16.1 247443 0.080708
16.2 247443 0.080708
16.3 247373 0.082498
16.4 247373 0.082498
16.5 247310 0.0832618
16.6 247310 0.0832618
16.7 247255 0.0829265
16.8 247216 0.0814188
16.9 247216 0.0814188
17 247179 0.0790323
17.1 247179 0.0790323
17.2 247143 0.0760274
17.3 247143 0.0760274
17.4 247108 0.0727004
17.5 247075 0.0693088
17.6 247075 0.0693088
17.7 247047 0.0660101
17.8 247047 0.0660101
17.9 247026 0.0629425
18 247026 0.0629425
18.1 247019 0.0602422
18.2 247012 0.0579059
18.3 247012 0.0579059
18.4 247002 0.0557941
18.5 247002 0.0557941
18.6 246989 0.0537591
18.7 246989 0.0537591
18.8 246973 0.0516414
18.9 246956 0.049321
19 246956 0.049321
19.1 246940 0.046745
19.2 246940 0.046745
19.3 246933 0.0439543
19.4 246933 0.0439543
19.5 246930 0.0410338
19.6 246930 0.038156
19.7 246930 0.038156
19.8 246930 0.0355244
19.9 246930 0.0355244
20 246930 0.0333388
20.1 246930 0.0333388
20.2 246930 0.0317571
20.3 246930 0.0317571
20.4 246930 0.0308682
20.5 246930 0.0306766
20.6 246930 0.0306766
20.7 246930 0.0311012
20.8 246930 0.0311012
20.9 246930 0.031984
21 246930 0.031984
21.1 246930 0.0331061
21.2 246930 0.0342085
21.3 246930 0.0342085
21.4 246930 0.0350163
21.5 246930 0.0350163
21.6 246930 0.0352683
21.7 246930 0.0352683
21.8 246930 0.0347487
21.9 246930 0.0333154
22 246930 0.0333154
22.1 246930 0.0309203
22.2 246930 0.0309203
22.3 246930 0.0276156
22.4 246930 0.0276156
22.5 246930 0.0235462
22.6 246930 0.0189275
22.7 246930 0.0189275
22.8 246930 0.0140169
22.9 246930 0.0140169
23 246930 0.00908167
23.1 246930 0.00908167
23.2 246930 0.00437348
23.3 246930 0.000110284
23.4 246930 0.000110284
23.5 246930 -0.00353275
23.6 246930 -0.00353275
23.7 246930 -0.00642365
23.8 246930 -0.00642365
23.9 246930 -0.00846839
24 246930 -0.00960605
24.1 246930 -0.00960605
24.2 246930 -0.00980819
24.3 246930 -0.00980819
24.4 246930 -0.00908279
24.5 246930 -0.00908279
24.6 246930 -0.00748066
24.7 246930 -0.00510142
24.8 246930 -0.00510142
24.9 246930 -0.00209445
25 246930 -0.00209445
25.1 246930 0.00134762
25.2 246930 0.00134762
25.3 246930 0.00500041
25.4 246930 0.00500041
25.5 246930 0.00862569
25.6 246930 0.0119954
25.7 246930 0.0119954
25.8 246930 0.0149161
25.9 246930 0.0149161
26 246930 0.0172498
26.1 246930 0.0172498
26.2 246930 0.0189273
26.3 246930 0.0199526
26.4 246930 0.0199526
26.5 246930 0.0203979
26.6 246930 0.0203979
26.7 246930 0.0203912
26.8 246930 0.0203912
26.9 246930 0.0200994
27 246927 0.0196684
