NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
NSIDE = 512
ORDERING = RING in fits file
INDXSCHM = IMPLICIT
ndata = 259608
-2 1
-1 0.252313
0 259608 0.252313
1 258431 0.219248
2 257752 0.186462
3 256995 0.158715
4 256245 0.143008
5 255583 0.136633
6 254785 0.136113
7 253987 0.143634
8 253189 0.134581
9 252524 0.124153
10 251776 0.123261
11 251026 0.110744
12 250361 0.0948978
13 249563 0.0767047
14 248765 0.0575964
15 248105 0.0572862
16 247519 0.0780252
17 247179 0.0790323
18 247026 0.0629425
19 246956 0.049321
20 246930 0.0333388
21 246930 0.031984
22 246930 0.0333154
23 246930 0.00908167
24 246930 -0.00960605
25 246930 -0.00209445
26 246930 0.0172498
27 246927 0.0196684
28 246866 0.0216115
29 246832 0.0390354
30 246832 0.0519498
31 246832 0.047828
32 246832 0.0344849
33 246832 0.0330809
34 246832 0.0460525
35 246832 0.0533526
36 246832 0.0560967
37 246832 0.0679572
38 246832 0.078683
39 246832 0.0893561
40 246832 0.0974823
41 246832 0.0763
42 246832 0.0353234
43 246832 0.0174524
44 246832 0.0121171
45 246832 0.00233285
46 246832 0.0108796
47 246832 0.0238568
48 246832 0.0385094
49 246832 0.0568082
50 246832 0.0589872
51 246832 0.0455821
52 246832 0.0319181
53 246832 0.0130585
54 246832 0.00157241
55 246832 0.0172744
56 246832 0.0388122
57 246832 0.0306025
58 246832 0.0212321
59 246855 0.0247569
60 246855 0.00923287
61 246855 -0.0204828
62 246855 -0.0438432
63 246855 -0.0629
64 246855 -0.0649584
65 246855 -0.0569364
66 246855 -0.0637457
67 246855 -0.0650069
68 246855 -0.0636091
69 246855 -0.0676268
70 246855 -0.057915
71 246855 -0.0423255
72 246855 -0.0590322
73 246855 -0.0929264
74 246834 -0.122077
75 246832 -0.139191
76 246832 -0.137353
77 246855 -0.100447
78 246832 -0.0422204
79 246832 -0.0072014
80 246832 0.000133367
81 246832 -0.02181
82 246832 -0.0365313
83 246832 -0.0380848
84 246832 -0.0434506
85 246832 -0.059069
86 246832 -0.0667285
87 246832 -0.0651258
88 246832 -0.0458145
89 246832 -0.0159142
90 246832 0.0141909
91 246832 0.0214668
92 246832 0.0107333
93 246832 -0.0107755
94 246832 -0.026024
95 246832 -0.0450838
96 246832 -0.0669187
97 246832 -0.0636777
98 246832 -0.0548709
99 246832 -0.0456225
100 246832 -0.0311542
101 246832 -0.0178086
102 246832 -0.00681883
103 246832 0.000861424
104 246832 -0.0120011
105 246832 -0.0371537
106 246832 -0.0616715
107 246837 -0.0685428
108 246855 -0.0679888
109 246832 -0.0631779
110 246832 -0.0573583
111 246832 -0.0521098
112 246832 -0.0476983
113 246832 -0.0482646
114 246832 -0.0454534
115 246832 -0.0396176
116 246832 -0.0446062
117 246832 -0.0535232
118 246832 -0.0523459
119 246832 -0.0509804
120 246832 -0.0429243
121 246832 -0.0285238
122 246832 -0.0159378
123 246832 -0.0176581
124 246832 -0.0141575
125 246832 -0.0128098
126 246832 -0.0292729
127 246832 -0.042722
128 246832 -0.0478093
129 246832 -0.0439175
130 246832 -0.0471002
131 246832 -0.0481459
132 246832 -0.0319026
133 246832 -0.0227789
134 246832 -0.0227924
135 246832 -0.024458
136 246832 -0.0434466
137 246832 -0.0426006
138 246832 -0.0415118
139 246832 -0.0602
140 246832 -0.0757327
141 246832 -0.0851145
142 246832 -0.0771107
143 246832 -0.0732087
144 246832 -0.0924104
145 246832 -0.100085
146 246832 -0.0707416
147 246832 -0.0475546
148 246832 -0.0415398
149 246832 -0.0442581
150 246832 -0.0386561
151 246832 -0.0325385
152 246832 -0.0350517
153 246832 -0.0318287
154 246832 -0.0304215
155 246832 -0.0363839
156 246832 -0.0252232
157 246832 -0.00380438
158 246832 0.000530685
159 246832 0.00422781
160 246868 0.0110261
161 246833 0.028838
162 246832 0.0443243
163 246832 0.0341599
164 246832 0.0260827
165 246832 0.0356824
166 246873 0.0367719
167 246970 0.0202194
168 246975 -0.000780778
169 246975 -0.0137953
170 246981 -0.016977
171 247012 -0.00586369
172 247028 -0.0052922
173 247049 -0.00856055
174 247074 0.0102004
175 247117 0.0304827
176 247059 0.028136
177 247063 0.027731
178 247098 0.0220881
179 247145 0.00154755
180 247188 -0.0228886
181 247145 -0.0429584
182 247098 -0.0530108
183 247063 -0.0463833
184 247059 -0.0366297
185 247117 -0.0281546
186 247074 -0.0109429
187 247049 -0.00839879
188 247028 -0.0370661
189 247012 -0.0711068
190 246981 -0.104497
191 246975 -0.112635
192 246975 -0.107267
193 246970 -0.0954539
194 246873 -0.0748448
195 246832 -0.0481747
196 246832 -0.0224404
197 246832 -0.015668
198 246832 -0.00845903
199 246833 0.0167049
200 246868 0.0212788
201 246832 0.00325686
202 246832 0.00322893
203 246832 0.0173194
204 246832 0.0197033
205 246832 0.016315
206 246832 0.0108853
207 246832 0.00423038
208 246832 0.00430095
209 246832 0.00737133
210 246832 0.0153372
211 246832 0.0206092
212 246832 0.0183811
213 246832 0.0230184
214 246832 0.0304904
215 246832 0.0349986
216 246832 0.0360203
217 246832 0.0379016
218 246832 0.0334741
219 246832 0.0132031
220 246832 -0.00515842
221 246832 -0.0168088
222 246832 -0.0358872
223 246832 -0.0370677
224 246832 -0.0300317
225 246832 -0.0286321
226 246832 -0.0280776
227 246832 -0.0297418
228 246832 -0.0463471
229 246832 -0.0432215
230 246832 -0.0240728
231 246832 -0.028157
232 246832 -0.0562413
233 246832 -0.0713133
234 246832 -0.064732
235 246832 -0.0489053
236 246832 -0.0395449
237 246832 -0.0348513
238 246832 -0.0170698
239 246832 0.00842195
240 246832 0.0215342
241 246832 0.0354221
242 246832 0.0441391
243 246832 0.0356997
244 246832 0.0214913
245 246832 0.000523714
246 246832 -0.0248022
247 246832 -0.0359184
248 246832 -0.0254056
249 246832 0.000982634
250 246832 0.0270162
251 246832 0.0441225
252 246855 0.0327122
253 246837 0.0186149
254 246832 0.00633776
255 246832 -0.00831227
256 246832 -0.0108889
257 246832 0.00277575
258 246832 0.0155269
259 246832 0.0363109
260 246832 0.0602299
261 246832 0.0635866
262 246832 0.0574302
263 246832 0.0262343
264 246832 0.0138407
265 246832 0.022025
266 246832 0.0304786
267 246832 0.0331188
268 246832 0.0251415
269 246832 0.0103585
270 246832 -0.0137073
271 246832 -0.0277113
272 246832 -0.0387545
273 246832 -0.0560809
274 246832 -0.0623994
275 246832 -0.0622694
276 246832 -0.0585222
277 246832 -0.0544959
278 246832 -0.0509701
279 246832 -0.0508112
280 246832 -0.0443033
281 246832 -0.0329417
282 246832 -0.0305576
283 246855 -0.0213593
284 246832 -0.00688761
285 246832 -0.00735299
286 246834 -0.00568622
287 246855 -0.00475423
288 246855 -0.00992755
289 246855 -0.0139341
290 246855 -0.0254114
291 246855 -0.0350168
292 246855 -0.0468823
293 246855 -0.0542624
